Titulo1=  Dados detalhados das AIH - por local internação - Brasil
Titulo2=Quantidade aprovada por Grupo procedimento segundo Município
Rodape=Período:Set/2008
Nomemapa=c:\tabwin\br_municip.map
"Município";"02 Procedimentos com finalidade diagnóstica";"03 Procedimentos clínicos";"04 Procedimentos cirúrgicos";"05 Transplantes de orgãos, tecidos e células";"06 Medicamentos";"07 Órteses, próteses e materiais especiais";"08 Ações complementares da atenção à saúde";"Total"
" MUNICIPIO IGNORADO - RO";0;0;0;0;0;0;0;0
"110001 ALTA FLORESTA D'OESTE";64;247;13;0;0;0;180;504
"110002 ARIQUEMES";411;657;140;0;0;0;44;1252
"110003 CABIXI";0;0;0;0;0;0;0;0
"110004 CACOAL";124;370;123;0;1;0;78;696
"110005 CEREJEIRAS";210;515;7;0;0;0;18;750
"110006 COLORADO DO OESTE";148;453;0;0;0;0;0;601
"110007 CORUMBIARA";0;0;0;0;0;0;0;0
"110008 COSTA MARQUES";62;208;6;0;0;0;0;276
"110009 ESPIGAO D'OESTE";221;157;38;0;0;0;60;476
"110010 GUAJARA-MIRIM";0;0;0;0;0;0;0;0
"110011 JARU";617;794;49;0;1;0;17;1478
"110012 JI-PARANA";2004;881;226;0;1;0;798;3910
"110013 MACHADINHO D'OESTE";1032;2403;62;0;0;0;142;3639
"110014 NOVA BRASILANDIA D'OESTE";38;85;44;0;0;0;38;205
"110015 OURO PRETO DO OESTE";80;97;23;0;0;0;0;200
"110018 PIMENTA BUENO";171;220;14;0;0;0;356;761
"110020 PORTO VELHO";10691;14741;676;0;30;42;4000;30180
"110025 PRESIDENTE MEDICI";244;208;19;0;0;0;193;664
"110026 RIO CRESPO";0;0;0;0;0;0;0;0
"110028 ROLIM DE MOURA";2808;727;481;0;0;0;483;4499
"110029 SANTA LUZIA D'OESTE";159;61;3;0;0;0;11;234
"110030 VILHENA";2324;706;161;0;0;0;1944;5135
"110032 SAO MIGUEL DO GUAPORE";79;65;23;0;0;0;0;167
"110033 NOVA MAMORE";164;198;13;0;0;0;0;375
"110034 ALVORADA D'OESTE";0;0;0;0;0;0;0;0
"110037 ALTO ALEGRE DOS PARECIS";0;0;0;0;0;0;0;0
"110040 ALTO PARAISO";0;0;0;0;0;0;0;0
"110045 BURITIS";0;0;0;0;0;0;0;0
"110050 NOVO HORIZONTE DO OESTE";0;45;0;0;0;0;0;45
"110060 CACAULANDIA";0;0;0;0;0;0;0;0
"110070 CAMPO NOVO DE RONDONIA";0;0;0;0;0;0;0;0
"110080 CANDEIAS DO JAMARI";0;0;0;0;0;0;0;0
"110090 CASTANHEIRAS";0;0;0;0;0;0;0;0
"110092 CHUPINGUAIA";0;0;0;0;0;0;0;0
"110094 CUJUBIM";0;0;0;0;0;0;0;0
"110100 GOVERNADOR JORGE TEIXEIRA";153;200;9;0;0;0;0;362
"110110 ITAPUA DO OESTE";0;0;0;0;0;0;0;0
"110120 MINISTRO ANDREAZZA";0;35;0;0;0;0;0;35
"110130 MIRANTE DA SERRA";23;76;6;0;0;0;17;122
"110140 MONTE NEGRO";1027;1766;29;0;0;0;0;2822
"110143 NOVA UNIAO";0;0;0;0;0;0;0;0
"110145 PARECIS";0;0;0;0;0;0;0;0
"110146 PIMENTEIRAS DO OESTE";0;0;0;0;0;0;0;0
"110147 PRIMAVERA DE RONDONIA";0;0;0;0;0;0;0;0
"110148 SAO FELIPE D'OESTE";0;0;0;0;0;0;0;0
"110149 SAO FRANCISCO DO GUAPORE";26;297;2;0;0;0;0;325
"110150 SERINGUEIRAS";32;272;14;0;0;0;0;318
"110155 TEIXEIROPOLIS";0;0;0;0;0;0;0;0
"110160 THEOBROMA";0;0;0;0;0;0;0;0
"110170 URUPA";0;0;0;0;0;0;0;0
"110175 VALE DO ANARI";0;0;0;0;0;0;0;0
"110180 VALE DO PARAISO";0;0;0;0;0;0;0;0
" MUNICIPIO IGNORADO - AC";0;0;0;0;0;0;0;0
"120001 ACRELANDIA";0;54;0;0;0;0;0;54
"120005 ASSIS BRASIL";155;58;0;0;0;0;9;222
"120010 BRASILEIA";487;319;46;0;0;0;409;1261
"120013 BUJARI";0;0;0;0;0;0;0;0
