Titulo1=  Dados detalhados das AIH - por local internação - Brasil
Titulo2=Quantidade aprovada por Grupo procedimento segundo Município
Rodape=Período:Set/2023
Nomemapa=c:\tabwin\br_municip.map
"Município";"01 Ações de promoção e prevenção em saúde";"02 Procedimentos com finalidade diagnóstica";"03 Procedimentos clínicos";"04 Procedimentos cirúrgicos";"05 Transplantes de orgãos, tecidos e células";"06 Medicamentos";"07 Órteses, próteses e materiais especiais";"08 Ações complementares da atenção à saúde";"Total"
" MUNICIPIO IGNORADO - RO";0;0;0;0;0;0;0;0;0
"110001 ALTA FLORESTA D'OESTE";0;334;1105;0;0;0;0;196;1635
"110002 ARIQUEMES";0;604;7912;308;0;10;16;1546;10396
"110003 CABIXI";0;72;21;0;0;0;0;13;106
"110004 CACOAL";0;21169;33221;1167;33;5;62;5606;61263
"110005 CEREJEIRAS";0;87;901;64;0;0;0;333;1385
"110006 COLORADO DO OESTE";0;9;299;19;0;0;0;28;355
"110007 CORUMBIARA";0;0;0;0;0;0;0;0;0
"110008 COSTA MARQUES";0;2;13;0;0;0;0;0;15
"110009 ESPIGAO D'OESTE";0;807;740;1;0;0;0;212;1760
"110010 GUAJARA-MIRIM";0;928;2423;46;0;0;0;1111;4508
"110011 JARU";0;2940;5173;280;0;4;11;448;8856
"110012 JI-PARANA";0;720;1495;1387;0;7;0;562;4171
"110013 MACHADINHO D'OESTE";0;83;3338;213;0;1;4;538;4177
"110014 NOVA BRASILANDIA D'OESTE";0;113;404;11;0;0;0;0;528
"110015 OURO PRETO DO OESTE";0;0;0;0;0;0;0;0;0
"110018 PIMENTA BUENO";0;1731;6347;86;0;0;0;543;8707
"110020 PORTO VELHO";0;127847;110255;10264;83;217;826;17914;267406
"110025 PRESIDENTE MEDICI";0;598;1210;132;0;0;0;59;1999
"110026 RIO CRESPO";0;0;0;0;0;0;0;0;0
"110028 ROLIM DE MOURA";0;0;0;0;0;0;0;0;0
"110029 SANTA LUZIA D'OESTE";0;17;114;0;0;0;0;14;145
"110030 VILHENA";0;5304;7857;2631;20;7;8;3032;18859
"110032 SAO MIGUEL DO GUAPORE";0;413;938;201;0;0;0;296;1848
"110033 NOVA MAMORE";0;665;988;102;0;0;0;0;1755
"110034 ALVORADA D'OESTE";0;0;0;0;0;0;0;0;0
"110037 ALTO ALEGRE DOS PARECIS";0;0;33;0;0;0;0;0;33
"110040 ALTO PARAISO";0;176;294;0;0;0;0;31;501
"110045 BURITIS";0;1025;4302;117;0;3;0;291;5738
"110050 NOVO HORIZONTE DO OESTE";0;0;0;0;0;0;0;0;0
"110060 CACAULANDIA";0;0;0;0;0;0;0;0;0
"110070 CAMPO NOVO DE RONDONIA";0;0;64;0;0;0;0;13;77
"110080 CANDEIAS DO JAMARI";0;0;0;0;0;0;0;0;0
"110090 CASTANHEIRAS";0;0;0;0;0;0;0;0;0
"110092 CHUPINGUAIA";0;0;0;0;0;0;0;0;0
"110094 CUJUBIM";0;0;0;0;0;0;0;0;0
"110100 GOVERNADOR JORGE TEIXEIRA";0;0;0;0;0;0;0;0;0
"110110 ITAPUA DO OESTE";0;0;0;0;0;0;0;0;0
"110120 MINISTRO ANDREAZZA";0;1;21;0;0;0;0;46;68
"110130 MIRANTE DA SERRA";0;0;0;0;0;0;0;0;0
"110140 MONTE NEGRO";0;7;328;21;0;0;0;139;495
"110143 NOVA UNIAO";0;0;6;0;0;0;0;0;6
"110145 PARECIS";0;0;54;0;0;0;0;0;54
"110146 PIMENTEIRAS DO OESTE";0;0;4;0;0;0;0;6;10
"110147 PRIMAVERA DE RONDONIA";0;0;0;0;0;0;0;0;0
